1980,CTD-13
1981,CTD-13
2349,CTD-46
2350,CTD-12
2351,CTD-5
2352,CTD-5
,CTD-5
,CTD-6
2066,CTD-6
2067,CTD-6
2068,CTD-6
2069,CTD-6
2070,CTD-6
2071,CTD-6
2348,CTD-6
2353,CTD-6
2354,CTD-6
2038,CTD-6
2355,CTD-23
2356,CTD-23
2367,CTD-23
2357,CTD-23
2358,CTD-23
2359,CTD-33
2360,CTD-33
,CTD-33
2361,CTD-33
2362,CTD-33
1994,CTD-8
1995,CTD-8
1996,CTD-8
,CTD-11
,CTD-11
,CTD-11
2366,CTD-11
,CTD-11
2363,CTD-11
2364,CTD-12
,CTD-12
2369,CTD-12
2370,CTD-12
,CTD-12
2065,CTD-17
,CTD-17
,CTD-17
2375,CTD-17
2376,CTD-17
,CTD-17
2377,CTD-17
,CTD-19
,CTD-19
,CTD-35
,CTD-35
,CTD-35
,CTD-35
,CTD-20
,CTD-20
,CTD-36
,CTD-36
,CTD-36
,CTD-36
,CTD-36
,CTD-36
,CTD-36
1985,CTD-22
,CTD-22
2378,CTD-22
,CTD-22
,CTD-22
,CTD-26
,CTD-26
1982,CTD-26
2379,CTD-26
2380,CTD-26
,CTD-26
2381,CTD-26
1983,CTD-26
,CTD-26
,CTD-29
,CTD-29
,CTD-29
,CTD-29
,CTD-27
1987,CTD-27
,CTD-27
,CTD-27
2374,CTD-27
,CTD-27
,CTD-49
,CTD-49
2373,CTD-49
1970,CTD-49
1971,CTD-49
2385,CTD-53
,CTD-53
2386,CTD-53
2387,CTD-53
1968,CTD-53
"1980
1981",CTD-32
2362,CTD-59
,CTD-64
2388,CTD-48
,CTD-55
,CTD-54
,CTD-38
,CTD-56
,CTD-58
,CTD-57
